open,high,low,close,volume,marketCap,timestamp
350,9084.0125897829,9380.1401748712,8413.9342692764,8995.4105730131,7865547213.299975,151719638993.6244,2018-01-26
351,8146.5185326503,8347.3503331792,7870.4177105973,8232.2000719837,6480625557.704706,138700483512.25015,2018-01-31
352,6645.1390318677,6717.1282773227,5450.2542355257,5624.9656445865,7460461179.49542,94154254476.94038,2018-02-05
353,7128.3250863443,7457.328377902,6781.222698081,7048.0670241355,6360631289.135943,118811283237.96289,2018-02-10
354,7610.7486263736,8187.83984375,7514.6605439694,8132.4697149228,7269222979.064731,137545365715.08783,2018-02-15
355,9059.3642560796,9693.9850843061,9060.0950267706,9245.7436316787,8006565807.3882885,155232953631.23083,2018-02-20
356,8368.7465999451,8620.5158995465,7766.183784725,7982.6489160498,5627535983.079802,134782233065.9725,2018-02-24
357,8519.2780968007,9012.7210345654,8496.2660609869,8924.2930486513,6002690520.098441,151771741652.99426,2018-03-01
358,9322.3894369123,9323.1452041954,8623.7398634687,8682.9644709021,5538399792.477303,147718317187.0947,2018-03-06
359,7194.4577598029,7889.4310710297,6994.8152110423,7782.4422187297,5116920094.270621,131661690567.24908,2018-03-11
360,6763.2944549407,6987.7506028203,6507.853067713,6786.3185556889,4298212124.167073,114669082706.8097,2018-03-16
361,7297.6896127623,7470.3867457774,7209.1354234577,7233.1148428007,4934375647.9137745,123453839666.8572,2018-03-21
362,6880.2377967637,6896.3376814011,6364.1280435296,6590.7196456527,4793587979.274611,112595702694.30052,2018-03-26
363,5594.091372834,5850.0528347182,5570.5868188712,5659.8732125284,3695535881.8277736,95937542348.0237,2018-03-31
364,5574.3528425393,5653.3386255351,5411.5154366703,5561.2918148626,4590037493.081556,94029305188.01889,2018-04-05
365,5516.6747373001,5562.902830055,5439.4725373986,5529.2935568522,3468704400.0649457,94153563049.1963,2018-04-10
366,6488.2229524901,6763.2572973274,6488.2229524901,6754.610616789,4253775650.9043717,114710956592.58658,2018-04-15
367,7202.3360239805,7323.4334303272,7042.2842183176,7240.4200538214,6144025837.538662,123026320306.0394,2018-04-21
368,7286.8110054236,7665.601061798,7170.3967165804,7665.601061798,7371648852.000986,129668277792.75208,2018-04-26
369,7659.1354636663,7664.6901977579,7360.1405667943,7605.5127319641,6385478850.898253,128416369008.19604,2018-05-01
370,8233.2409853759,8312.5436096651,7915.4122763004,8077.3026057789,6039705796.956013,137411444453.92206,2018-05-06
371,7599.865648873,7599.227701618,7029.3585336941,7068.7407757285,7126024338.482203,120671425530.55742,2018-05-11
372,7196.1500729819,7192.856274833,6911.3959205131,7085.0237708474,5720274293.450668,120652815940.09138,2018-05-16
373,7243.7994714195,7301.0148718113,7110.1743452507,7142.6064599771,4381632027.19932,121988052256.69359,2018-05-21
374,6426.1630733637,6519.450777897,6308.2576113197,6314.0599852468,3477716710.729614,107698765032.61803,2018-05-26
375,6350.6687552253,6516.7008413359,6316.9397432528,6411.3011565361,4396441529.754759,109675012339.2214,2018-05-31
376,6619.6895123918,6639.6813017801,6391.8926187142,6423.7221874199,4280104508.829076,109988175307.73187,2018-06-04
377,6486.9284544716,6530.3247306859,6401.4788207282,6401.4788207282,3268077593.064763,109367742383.98776,2018-06-09
378,5374.300965938,5796.0077227089,5370.4620270772,5773.5254260995,4354101013.387562,96683621206.57515,2018-06-14
379,5797.9105139898,5900.2853930641,5764.5360153565,5842.7029786884,3488717764.210164,99569971001.80583,2018-06-19
380,5288.9573446214,5340.0083956725,4999.0649131274,5294.8194360312,3918412657.2286572,90644849135.99313,2018-06-24
381,5100.86472612,5359.6337894804,5010.9479649665,5322.5197335338,3430104657.9607368,92082251353.45499,2018-06-29
382,5618.7238332511,5817.3008520531,5528.8077148689,5659.2467015676,3582374062.9556565,96941866838.49387,2018-07-04
383,5765.5349145817,5822.135344612,5721.3816419212,5734.7312010888,3164096604.544294,98338770738.66054,2018-07-09
384,5346.5982028241,5389.9785549048,5316.4058321299,5371.0912427792,2502071044.9293966,92110786337.18442,2018-07-14
385,6337.0267073027,6436.8804955231,6265.4242192868,6407.1219008763,4390303035.30018,110042712970.0249,2018-07-19
386,6599.8201895527,7210.7074649063,6590.4036948341,7210.7074649063,6224503811.1529255,123704172488.88129,2018-07-24
387,7039.9968363933,7096.9970535561,6984.5403018027,7049.0264696265,3523670226.4927936,121127183260.12354,2018-07-29
388,6527.526974536,6529.2177516836,6324.3441491198,6427.2412898764,3994087181.7004747,110302828359.94821,2018-08-03
389,5815.7486423584,5813.7440758294,5360.0378787879,5432.7560954596,4365511593.828118,93481949452.63339,2018-08-08
390,5566.0142192574,5740.8009133222,5463.5541904344,5524.6688305992,3584639691.038357,95119535359.43123,2018-08-13
